Inches,Pixels,Kicker,Shooter,Hood,TOF
121.5,255,6381,7642,2136,1.094
122.2,254,6389,7660,2142,1.096
122.9,253,6396,7678,2147,1.098
123.5,252,6404,7696,2152,1.100
124.2,251,6411,7715,2158,1.103
124.9,250,6419,7734,2163,1.105
125.5,249,6426,7754,2168,1.107
126.2,248,6433,7773,2174,1.109
126.9,247,6440,7793,2180,1.112
127.6,246,6447,7814,2185,1.114
128.3,245,6455,7834,2191,1.116
129.0,244,6462,7855,2196,1.118
129.7,243,6469,7876,2202,1.121
130.4,242,6476,7897,2208,1.123
131.2,241,6483,7919,2214,1.126
131.9,240,6491,7940,2220,1.128
132.6,239,6498,7962,2226,1.130
133.4,238,6506,7984,2231,1.133
134.1,237,6513,8007,2237,1.135
134.9,236,6521,8029,2243,1.138
135.7,235,6530,8052,2250,1.140
136.4,234,6538,8075,2256,1.143
137.2,233,6547,8098,2262,1.145
138.0,232,6556,8121,2268,1.148
138.8,231,6566,8144,2274,1.150
139.6,230,6576,8167,2281,1.153
140.4,229,6587,8191,2287,1.156
141.2,228,6598,8214,2293,1.158
142.1,227,6610,8238,2300,1.161
142.9,226,6622,8262,2306,1.163
143.7,225,6635,8285,2313,1.166
144.6,224,6649,8309,2320,1.169
145.4,223,6663,8333,2326,1.172
146.3,222,6678,8357,2333,1.174
147.2,221,6694,8381,2340,1.177
148.1,220,6711,8405,2346,1.180
149.0,219,6729,8428,2353,1.183
149.9,218,6747,8452,2360,1.186
150.8,217,6767,8476,2367,1.188
151.7,216,6787,8500,2374,1.191
152.6,215,6808,8523,2381,1.194
153.5,214,6830,8547,2388,1.197
154.5,213,6853,8570,2395,1.200
155.4,212,6877,8594,2403,1.203
156.4,211,6901,8617,2410,1.206
157.4,210,6927,8640,2417,1.214
158.4,209,6868,8585,2424,1.222
159.4,208,6893,8610,2432,1.229
160.4,207,6920,8634,2439,1.236
161.4,206,6947,8658,2447,1.242
162.4,205,6975,8682,2454,1.248
163.4,204,7004,8705,2462,1.254
164.5,203,7034,8729,2470,1.259
165.6,202,7064,8752,2477,1.264
166.6,201,7095,8775,2485,1.268
167.7,200,7127,8798,2487,1.272
168.8,199,7159,8821,2493,1.275
169.9,198,7192,8843,2503,1.279
171.0,197,7225,8865,2517,1.281
172.2,196,7259,8886,2535,1.284
173.3,195,7293,8908,2556,1.286
174.5,194,7328,8929,2580,1.288
175.6,193,7363,8950,2607,1.289
176.8,192,7398,8970,2637,1.290
178.0,191,7433,8991,2670,1.291
179.2,190,7468,9010,2705,1.291
180.4,189,7503,9030,2742,1.291
181.6,188,7538,9049,2781,1.291
182.9,187,7573,9068,2821,1.291
184.2,186,7608,9087,2863,1.290
185.4,185,7643,9105,2907,1.289
186.7,184,7677,9123,2952,1.288
188.0,183,7712,9140,2997,1.287
189.3,182,7746,9157,3044,1.285
190.7,181,7779,9174,3091,1.284
192.0,180,7813,9191,3139,1.282
193.4,179,7846,9207,3188,1.280
194.8,178,7878,9223,3236,1.278
196.2,177,7910,9238,3285,1.276
197.6,176,7942,9254,3334,1.274
199.0,175,7973,9269,3383,1.272
200.4,174,8004,9283,3431,1.270
201.9,173,8035,9298,3480,1.268
203.4,172,8146,9350,3528,1.265
204.9,171,8175,9363,3575,1.263
206.4,170,8204,9377,3622,1.261
207.9,169,8233,9390,3668,1.259
209.5,168,8261,9403,3713,1.257
211.0,167,8290,9416,3758,1.255
212.6,166,8318,9429,3801,1.253
214.2,165,8346,9442,3844,1.252
215.8,164,8373,9455,3886,1.250
217.5,163,8401,9468,3926,1.249
219.1,162,8428,9480,3966,1.248
220.8,161,8456,9493,4004,1.247
222.5,160,8484,9506,4041,1.246
224.2,159,8600,9560,4077,1.245
226.0,158,8629,9573,4112,1.245
227.7,157,8659,9587,4146,1.245
229.5,156,8689,9601,4178,1.245
231.3,155,8719,9616,4209,1.245
233.1,154,8750,9630,4239,1.245
235.0,153,8782,9645,4268,1.246
236.8,152,8814,9661,4296,1.247
238.7,151,8846,9676,4322,1.249
240.6,150,8879,9693,4347,1.250
242.6,149,8914,9709,4371,1.252
244.5,148,8948,9727,4394,1.254
246.5,147,8984,9744,4416,1.256
248.5,146,9021,9763,4437,1.259
250.5,145,9058,9782,4457,1.262
252.6,144,9096,9802,4476,1.265
254.7,143,9136,9823,4494,1.268
256.8,142,9176,9845,4512,1.272
258.9,141,9276,9901,4529,1.275
261.1,140,9318,9926,4545,1.279
263.2,139,9361,9952,4561,1.283
265.4,138,9405,9979,4577,1.288
267.7,137,9448,10007,4592,1.292
269.9,136,9492,10037,4608,1.297
272.2,135,9535,10068,4623,1.301
274.5,134,9579,10100,4638,1.306
276.9,133,9622,10134,4654,1.311
279.2,132,9663,10169,4669,1.315
281.6,131,9704,10206,4686,1.320
284.1,130,9743,10245,4703,1.325
286.5,129,9781,10286,4720,1.329
289.0,128,9816,10329,4739,1.334
291.5,127,9859,10389,4759,1.338
