Inches,Pixels,Kicker,Shooter,Hood,TOF
126.9,247,6351,7575,2180,1.112
127.6,246,6362,7597,2185,1.114
128.3,245,6372,7620,2191,1.116
129.0,244,6382,7644,2196,1.118
129.7,243,6392,7667,2202,1.121
130.4,242,6402,7691,2208,1.123
131.2,241,6412,7716,2214,1.126
131.9,240,6421,7741,2220,1.128
132.6,239,6430,7766,2226,1.130
133.4,238,6439,7791,2231,1.133
134.1,237,6448,7816,2237,1.135
134.9,236,6457,7842,2243,1.138
135.7,235,6466,7868,2250,1.140
136.4,234,6475,7894,2256,1.143
137.2,233,6543,8088,2262,1.145
138.0,232,6553,8113,2268,1.148
138.8,231,6564,8138,2274,1.150
139.6,230,6575,8164,2281,1.153
140.4,229,6586,8189,2287,1.156
141.2,228,6598,8214,2293,1.158
142.1,227,6611,8240,2300,1.161
142.9,226,6624,8265,2306,1.163
143.7,225,6638,8291,2313,1.166
144.6,224,6653,8316,2320,1.169
145.4,223,6669,8342,2326,1.172
146.3,222,6685,8367,2333,1.174
147.2,221,6703,8393,2340,1.177
148.1,220,6721,8418,2346,1.180
149.0,219,6741,8444,2353,1.183
149.9,218,6761,8469,2360,1.186
150.8,217,6782,8494,2367,1.188
151.7,216,6805,8519,2374,1.191
152.6,215,6828,8544,2381,1.194
153.5,214,6811,8527,2388,1.197
154.5,213,6835,8552,2395,1.200
155.4,212,6860,8577,2403,1.203
156.4,211,6886,8603,2410,1.206
157.4,210,6913,8628,2417,1.214
158.4,209,6941,8653,2424,1.222
159.4,208,6970,8677,2432,1.229
160.4,207,6999,8702,2439,1.236
161.4,206,7030,8726,2447,1.242
162.4,205,7061,8750,2454,1.248
163.4,204,7093,8774,2462,1.254
164.5,203,7126,8797,2470,1.259
165.6,202,7159,8821,2477,1.264
166.6,201,7193,8844,2485,1.268
167.7,200,7228,8866,2487,1.272
168.8,199,7263,8889,2493,1.275
169.9,198,7298,8911,2503,1.279
171.0,197,7334,8933,2517,1.281
172.2,196,7370,8954,2535,1.284
173.3,195,7310,8918,2556,1.286
174.5,194,7347,8941,2580,1.288
175.6,193,7384,8962,2607,1.289
176.8,192,7421,8984,2637,1.290
178.0,191,7459,9005,2670,1.291
179.2,190,7496,9026,2705,1.291
180.4,189,7533,9047,2742,1.291
181.6,188,7571,9067,2781,1.291
182.9,187,7608,9086,2821,1.291
184.2,186,7645,9106,2863,1.290
185.4,185,7682,9125,2907,1.289
186.7,184,7718,9144,2952,1.288
188.0,183,7755,9162,2997,1.287
189.3,182,7791,9180,3044,1.285
190.7,181,7827,9198,3091,1.284
192.0,180,7862,9215,3139,1.282
193.4,179,7772,9171,3188,1.280
194.8,178,7808,9188,3236,1.278
196.2,177,7842,9205,3285,1.276
197.6,176,7877,9222,3334,1.274
199.0,175,7911,9239,3383,1.272
200.4,174,7944,9255,3431,1.270
201.9,173,7977,9271,3480,1.268
203.4,172,8010,9286,3528,1.265
204.9,171,8042,9301,3575,1.263
206.4,170,8074,9316,3622,1.261
207.9,169,8105,9331,3668,1.259
209.5,168,8135,9345,3713,1.257
211.0,167,8166,9359,3758,1.255
212.6,166,8196,9373,3801,1.253
214.2,165,8226,9387,3844,1.252
215.8,164,8255,9400,3886,1.250
217.5,163,8284,9414,3926,1.249
219.1,162,8313,9427,3966,1.248
220.8,161,8343,9441,4004,1.247
222.5,160,8372,9454,4041,1.246
224.2,159,8401,9468,4077,1.245
226.0,158,8430,9481,4112,1.245
227.7,157,8366,9452,4146,1.245
229.5,156,8394,9464,4178,1.245
231.3,155,8422,9477,4209,1.245
233.1,154,8450,9490,4239,1.245
235.0,153,8479,9504,4268,1.246
236.8,152,8509,9517,4296,1.247
238.7,151,8538,9531,4322,1.249
240.6,150,8569,9545,4347,1.250
242.6,149,8600,9560,4371,1.252
244.5,148,8633,9575,4394,1.254
246.5,147,8666,9591,4416,1.256
248.5,146,8701,9607,4437,1.259
250.5,145,8736,9624,4457,1.262
252.6,144,8773,9641,4476,1.265
254.7,143,8812,9660,4494,1.268
256.8,142,8852,9679,4512,1.272
258.9,141,8893,9699,4529,1.275
261.1,140,8936,9720,4545,1.279
263.2,139,8981,9743,4561,1.283
265.4,138,9027,9766,4577,1.288
267.7,137,9075,9791,4592,1.292
269.9,136,9125,9817,4608,1.297
272.2,135,9176,9845,4623,1.301
274.5,134,9228,9874,4638,1.306
276.9,133,9282,9905,4654,1.311
279.2,132,9337,9937,4669,1.315
281.6,131,9393,9971,4686,1.320
284.1,130,9449,10008,4703,1.325
286.5,129,9505,10046,4720,1.329
289.0,128,9561,10086,4739,1.334
291.5,127,9580,10100,4759,1.338
