Inches,Pixels,Kicker,Shooter,Hood
206,170,8074,9316,3622
208,169,8105,9331,3668
209,168,8135,9345,3713
211,167,8166,9359,3758
213,166,8196,9373,3801
214,165,8226,9387,3844
216,164,8255,9400,3886
217,163,8284,9414,3926
219,162,8313,9427,3966
221,161,8343,9441,4004
222,160,8372,9454,4041
224,159,8401,9468,4077
226,158,8430,9481,4112
228,157,8366,9452,4146
229,156,8394,9464,4178
231,155,8422,9477,4209
233,154,8450,9490,4239
235,153,8479,9504,4268
237,152,8509,9517,4296
239,151,8538,9531,4322
241,150,8569,9545,4347
243,149,8600,9560,4371
245,148,8633,9575,4394
247,147,8666,9591,4416
249,146,8701,9607,4437
251,145,8736,9624,4457
253,144,8773,9641,4476
255,143,8812,9660,4494
257,142,8852,9679,4512
259,141,8893,9699,4529
261,140,8936,9720,4545
263,139,8981,9743,4561
265,138,9027,9766,4577
268,137,9075,9791,4592
270,136,9125,9817,4608
272,135,9176,9845,4623
275,134,9228,9874,4638
277,133,9282,9905,4654
279,132,9337,9937,4669
282,131,9393,9971,4686
284,130,9449,10008,4703
287,129,9505,10046,4720
289,128,9561,10086,4739
292,127,9643,10152,4759
