Inches,Pixels,Kicker,Shooter,Hood
164.5,203,7129,8800,2470
165.6,202,7161,8822,2477
166.6,201,7193,8844,2485
167.7,200,7226,8865,2487
168.8,199,7260,8887,2493
169.9,198,7293,8908,2503
171.0,197,7328,8929,2517
172.2,196,7362,8949,2535
173.3,195,7397,8970,2556
174.5,194,7432,8990,2580
175.6,193,7467,9010,2607
176.8,192,7502,9029,2637
178.0,191,7537,9048,2670
179.2,190,7572,9067,2705
180.4,189,7607,9086,2742
181.6,188,7642,9104,2781
182.9,187,7677,9122,2821
184.2,186,7712,9140,2863
185.4,185,7746,9158,2907
186.7,184,7781,9175,2952
188.0,183,7815,9192,2997
189.3,182,7848,9208,3044
190.7,181,7882,9225,3091
192.0,180,7915,9241,3139
193.4,179,7948,9256,3188
194.8,178,7980,9272,3236
196.2,177,8012,9287,3285
197.6,176,8044,9302,3334
199.0,175,8076,9317,3383
200.4,174,8107,9332,3431
201.9,173,8137,9346,3480
203.4,172,8168,9360,3528
204.9,171,8198,9374,3575
206.4,170,8228,9388,3622
207.9,169,8257,9401,3668
209.5,168,8287,9415,3713
211.0,167,8316,9428,3758
212.6,166,8345,9442,3801
214.2,165,8374,9455,3844
215.8,164,8403,9468,3886
217.5,163,8431,9482,3926
219.1,162,8460,9495,3966
220.8,161,8489,9508,4004
222.5,160,8518,9522,4041
224.2,159,8636,9576,4077
226.0,158,8666,9591,4112
227.7,157,8698,9605,4146
229.5,156,8729,9620,4178
231.3,155,8761,9636,4209
233.1,154,8794,9651,4239
235.0,153,8827,9667,4268
236.8,152,8861,9684,4296
238.7,151,8896,9701,4322
240.6,150,8932,9718,4347
242.6,149,8968,9736,4371
244.5,148,9005,9755,4394
246.5,147,9043,9775,4416
248.5,146,9082,9795,4437
250.5,145,9122,9816,4457
252.6,144,9163,9838,4476
254.7,143,9204,9861,4494
256.8,142,9247,9884,4512
258.9,141,9290,9909,4529
261.1,140,9334,9935,4545
263.2,139,9378,9962,4561
265.4,138,9423,9991,4577
267.7,137,9468,10020,4592
269.9,136,9513,10051,4608
272.2,135,9558,10084,4623
274.5,134,9602,10118,4638
276.9,133,9646,10154,4654
279.2,132,9688,10191,4669
281.6,131,9729,10231,4686
284.1,130,9768,10272,4703
286.5,129,9805,10315,4720
289.0,128,9840,10360,4739
291.5,127,9881,10422,4759
